Subregion,Location type,Capacity (m3/d),Unit size (m3/d),Technology,Membrane type (RO),Feedwater,Customer type,Industry,Customer,Plant type,Plant supplier,Plant supplier share,Procurement model,EPC price,Product water salinity,EPC contractor (desal),Equipment supplier : Membranes (Not specified / Other),Holding Company,RO System,RO Feed Pump Drive,RO Membrane Type,RO Pre Treament 1st Stage,Pretreatment
East Asia / Pacific,Land based,1000,1000,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,Electricity ,Stand-alone,Veolia Water Solutions & Technologies - Australia,100,EPC,"1,010,000 USD",,Veolia Water Solutions & Technologies - Australia,,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1000,1000,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Water Corporation of Western Australia,Stand-alone,"TYCO, O'Donnell Griffin",33.33,EPC,"1,010,000 USD",,TYCO / O'Donnell Griffin,,Consortium,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,720,720,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,,Stand-alone,,,EPC,"740,000 USD",,,,,Single Pass,Electric Motor,,,  
East Asia / Pacific,Land based,720,720,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,SECWA,Stand-alone,Veolia Water Solutions & Technologies - Australia,100,EPC,"590,000 USD",,Veolia Water Solutions & Technologies - Australia,,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,720,720,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Mining,Western Mining Corporation,Stand-alone,Veolia Water Solutions & Technologies - Australia,100,EPC,"740,000 USD",,Veolia Water Solutions & Technologies - Australia,,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,720,720,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Mining,Western Mining Corporation,Stand-alone,Veolia Water Solutions & Technologies - Australia,100,EPC,"740,000 USD",,Veolia Water Solutions & Technologies - Australia,,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,700,700,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"720,000 USD",,,,,Single Pass,Electric Motor,,,  
East Asia / Pacific,Land based,700,700,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,Electricity ,Stand-alone,Veolia Water Solutions & Technologies - Australia,100,EPC,"720,000 USD",,Veolia Water Solutions & Technologies - Australia,,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,700,700,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,,Stand-alone,Veolia Water Solutions & Technologies - Australia,100,EPC,"720,000 USD",,Veolia Water Solutions & Technologies - Australia,,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,450,450,RO (Reverse Osmosis),Spiral Wound Membrane,Brine or concentrated seawater (TDS >50000ppm),Industry (TDS <10ppm),Mining,Western Mining Corporation,Stand-alone,Veolia Water Solutions & Technologies - Australia,100,EPC,"1,460,000 USD",,Veolia Water Solutions & Technologies - Australia,,Veolia,,,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,150,150,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Food & Beverage,,Stand-alone,Osmoflo Pty Ltd,100,EPC,"110,000 USD",,Osmoflo Pty Ltd,,Hitachi Zosen Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,100,100,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Food & Beverage,Coca Cola,Stand-alone,Osmoflo Pty Ltd,100,EPC,"70,000 USD",,Osmoflo Pty Ltd,,Hitachi Zosen Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,100,100,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Lights gold,Stand-alone,Veolia Water Solutions & Technologies - Australia,100,EPC,"100,000 USD",,Veolia Water Solutions & Technologies - Australia,Dow Filmtec (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,1800,600,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,LEIPRO,Stand-alone,Overhoff Technology Corporation,100,EPC,"1,500,000 USD",,Overhoff Technology Corporation,,Overhoff Technology Corporation,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,552,276,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Refining/Chemicals,Biochemie,Stand-alone,Hager+Elsasser GmbH,100,EPC,"400,000 USD",,Hager+Elsasser GmbH,DuPont (now Dupont Water Solutions),Aquarion AG,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,500,250,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Overhoff Technology Corporation,100,EPC,"500,000 USD",,Overhoff Technology Corporation,,Overhoff Technology Corporation,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Eastern Europe / Central Asia,Land based,54000,9000,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Government of Cyprus / WDD,Stand-alone,"IDE Technologies Ltd., VA Tech Wabag GmbH, TAM Environmental",100,BOOT,"45,000,000 USD",500,IDE Technologies Ltd. / VA Tech Wabag GmbH / TAM Environmental,,Consortium,Two Pass,Electric Motor,Spiral Wound Membrane,Coagulation-Flocculation,"Coagulation-Flocculation,Dual Media Filtration,Microfiltration  "
Eastern Europe / Central Asia,Land based,120,120,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Oil & Gas,Ambrosia Oil,Stand-alone,"Biwater, Inc.",100,EPC,"130,000 USD",,"Biwater, Inc.",,Biwater,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,450,225,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,Okmetic ,Stand-alone,Christ Water Technology Group ,100,EPC,"330,000 USD",,Christ Water Technology Group ,"Toray Industries, Inc.",Ovivo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,100,100,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Ace Water Treatment Co. Ltd,100,EPC,"270,000 USD",0,Ace Water Treatment Co. Ltd,Ace Water Treatment Co. Ltd,Ace Water Treatment Co. Ltd,,,Spiral Wound Membrane,,  
Western Europe,Land based,9240,9240,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),Power,STEAG,Stand-alone,Steinmueller Rompf Wassertechnik,100,EPC,"6,980,000 USD",,Steinmueller Rompf Wassertechnik,"Toray Industries, Inc.",Nippon Steel & Sumitomo Metal Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,3360,1680,RO (Reverse Osmosis),Hollow Fibre Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Electronics,Hitachi,Stand-alone,Deutsche Babcock,100,EPC,"2,380,000 USD",0,Deutsche Babcock,Nitto Denko Corporation,Nippon Steel & Sumitomo Metal Corporation,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,2880,1440,RO (Reverse Osmosis),Hollow Fibre Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Electronics,Hitachi,Stand-alone,Deutsche Babcock,100,EPC,"2,050,000 USD",0,Deutsche Babcock,Nitto Denko Corporation,Nippon Steel & Sumitomo Metal Corporation,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,384,192,RO (Reverse Osmosis),Hollow Fibre Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Electronics,Hitachi,Stand-alone,Christ Water Technology Group ,100,EPC,"290,000 USD",0,Christ Water Technology Group ,DuPont (now Dupont Water Solutions),Ovivo,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,288,288,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,IVA,100,EPC,"240,000 USD",0,IVA,Dow Filmtec (now Dupont Water Solutions),IVA,,,Spiral Wound Membrane,,  
Western Europe,Land based,240,240,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),Food & Beverage,,Stand-alone,Aqua Engineering GmbH  ,100,EPC,"200,000 USD",0,Aqua Engineering GmbH  ,,Ovivo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,120,120,RO (Reverse Osmosis),Hollow Fibre Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,Byk Guld,Stand-alone,Christ Water Technology Group ,100,EPC,"500,000 USD",0,Christ Water Technology Group ,DuPont (now Dupont Water Solutions),Ovivo,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,100,100,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Bkg Water Solutions,100,EPC,"80,000 USD",0,Bkg Water Solutions,Dow Filmtec (now Dupont Water Solutions),Bkg Water Solutions,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,240,240,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Municipality,Stand-alone,Watera Hellas,100,EPC,"250,000 USD",0,Watera Hellas,Dow Filmtec (now Dupont Water Solutions),Culligan International Company,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,100,100,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Alfa Laval Process Technology,100,EPC,"270,000 USD",,Alfa Laval Process Technology,,Alfa Laval Process Technology,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Southern Asia,Land based,45000,,RO (Reverse Osmosis),,Wastewater,Industry (TDS <10ppm),General,Chennai Metropolitan Water Supply and Sewerage Board (CMWSSB) / State Industries Promotion Corporation of Tamil Nadu (SIPCOT),,"IDE Technologies Ltd., VA Tech Wabag Ltd.",,DBO,"58,900,000 USD",,IDE Technologies Ltd. / VA Tech Wabag Ltd.,,Consortium,,,,,  
Southern Asia,Land based,2400,600,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,Government,Stand-alone,Tata Power,100,EPC,"3,100,000 USD",,Tata Power,Dow Filmtec (now Dupont Water Solutions),Tata Power,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,9084,,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,,,EPC,"21,020,000 USD",,,,,,,,,  
Middle East / North Africa,Land based,3000,3000,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,"Iran, Government of",Stand-alone,,,EPC,"7,300,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,48000,8000,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Refining/Chemicals,,Stand-alone,Degremont ,100,EPC,"38,870,000 USD",,Degremont ,,Suez ,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,239,239,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Culligan International Company,100,EPC,"100,000 USD",,Culligan International Company,,Culligan International Company,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,13700,,RO (Reverse Osmosis),Flat membrane (FM),Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Kibbutz Kfar Masaryk,Stand-alone,"Baran Engineering and Projects, GES (Global Environmental Solutions Ltd.)",100,BOO,"11,200,000 USD",,Baran Engineering and Projects / GES (Global Environmental Solutions Ltd.),Dow Filmtec,Consortium,,,Flat membrane (FM),,  
Western Europe,Land based,500,500,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Osmo Sistemi,100,EPC,"520,000 USD",,Osmo Sistemi,,Caramondani Group,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,144,144,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Osmo Sistemi,100,EPC,"150,000 USD",,Osmo Sistemi,,Caramondani Group,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,144,144,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Osmo Sistemi,100,EPC,"150,000 USD",,Osmo Sistemi,,Caramondani Group,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,100,100,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Irrigation (TDS <1000ppm),,,Stand-alone,Osmo Sistemi,100,EPC,"100,000 USD",,Osmo Sistemi,,Caramondani Group,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,3785,3785,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Food & Beverage,,Stand-alone,American Engineering Services,100,EPC,"3,490,000 USD",,American Engineering Services,,American Engineering Services,Single Pass,Electric Motor,,,  
Latin America / Caribbean,Land based,946,946,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,,Stand-alone,American Engineering Services,100,EPC,"960,000 USD",,American Engineering Services,,American Engineering Services,Single Pass,Electric Motor,,,  
Latin America / Caribbean,Land based,189,189,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,American Engineering Services,100,EPC,"200,000 USD",,American Engineering Services,,American Engineering Services,Single Pass,Electric Motor,,,  
East Asia / Pacific,Land based,4600,4600,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"2,950,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,4100,4100,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"3,740,000 USD",,Organo,"Toray Industries, Inc.",Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3700,3700,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"2,440,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3600,3600,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"3,340,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3360,1680,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Kurita Water Industries Ltd,,EPC,"2,380,000 USD",,,"Toray Industries, Inc.",,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3100,3100,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"2,090,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3040,1520,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Kurita Water Industries Ltd,,EPC,"3,030,000 USD",,,Nitto Denko Corporation,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3000,3000,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,"Toray Industries, Inc.",100,EPC,"2,840,000 USD",,"Toray Industries, Inc.","Toray Industries, Inc.","Toray Industries, Inc.",Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2880,720,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"2,360,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2400,1200,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Kurita Water Industries Ltd,,EPC,"1,720,000 USD",,,Nitto Denko Corporation,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2400,2400,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Kurita Water Industries Ltd,,EPC,"1,660,000 USD",,,Nitto Denko Corporation,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2400,2400,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"1,660,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2400,2400,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),Power,,Stand-alone,Organo,100,EPC,"1,850,000 USD",,Organo,"Toray Industries, Inc.",Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2200,2200,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"2,140,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2160,2160,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"2,100,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2112,2112,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Kurita Water Industries Ltd,,EPC,"1,470,000 USD",,,Nitto Denko Corporation,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2100,2100,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"2,050,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2100,2100,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"1,460,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2000,2000,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,,Stand-alone,,,EPC,"1,960,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2000,2000,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"1,400,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1920,1920,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"1,880,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1800,1800,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"1,770,000 USD",,Organo,Nitto Denko Corporation,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1680,1680,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Industry (TDS <10ppm),General,Mitsubishi Corporation,Stand-alone,Nippon Rensui,100,EPC,"2,380,000 USD",,Nippon Rensui,"Toray Industries, Inc.",Mitsubishi Chemical Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1600,1600,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Power,,Stand-alone,Organo,100,EPC,"4,080,000 USD",,Organo,"Toray Industries, Inc.",Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1600,1600,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Industry (TDS <10ppm),,,Stand-alone,,,EPC,"2,270,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1600,1600,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),General,Mitsubishi Corporation,Stand-alone,Nippon Rensui,100,EPC,"1,590,000 USD",,Nippon Rensui,,Mitsubishi Chemical Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1600,1600,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"1,130,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1600,1600,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"1,130,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1600,1600,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"1,130,000 USD",,Organo,Nitto Denko Corporation,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1500,1500,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"1,070,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1440,1440,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Kurita Water Industries Ltd,,EPC,"1,030,000 USD",,,Nitto Denko Corporation,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1440,1440,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,,Stand-alone,Ebara Corporation,100,EPC,"3,690,000 USD",,Ebara Corporation,Nitto Denko Corporation,Ebara Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1440,480,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"1,060,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1440,1440,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Industry (TDS <10ppm),,Unitika Ltd.,Stand-alone,Unitika Ltd.,100,EPC,"2,050,000 USD",,Unitika Ltd.,,Unitika Ltd.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1430,1430,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"1,020,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1400,1400,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"1,000,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1300,1300,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"930,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1276,1276,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"910,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
